AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE
TNagar,1872,2,1,2,0,18,14822920
KKNagar,2286,4,2,0,0,10,13403120
Karapakkam,1648,2,2,0,0,28,5314000
AnnaNagar,1522,1,1,2,0,17,11584500
Chromepet,919,1,1,1,0,7,12157650
TNagar,1858,2,1,2,1,24,12695630
Chromepet,1082,1,1,1,1,18,12944300
Karapakkam,1338,2,2,0,1,7,7384750
Karapakkam,1559,2,2,0,0,14,5749000
Karapakkam,860,1,1,0,0,36,6063250
Velachery,1769,2,1,1,1,24,9626680
Chromepet,1197,1,1,1,0,14,9273100
Velachery,1971,3,2,0,1,27,15559710
Velachery,1966,3,2,0,1,7,9665040
KKNagar,2176,3,2,0,0,11,11751940
Karapakkam,1519,2,2,0,0,7,5686125
KKNagar,1892,3,2,0,1,22,11526700
Chromepet,786,1,1,0,0,7,6900800
Chromepet,942,1,1,1,1,38,9824040
Karapakkam,1344,2,2,0,1,40,7524750
Karapakkam,943,1,1,1,1,32,7102125
Chromepet,1098,1,1,1,0,31,8901650
Karapakkam,1190,1,1,1,0,8,6499750
Velachery,1590,2,1,1,1,26,9637220
Karapakkam,1040,1,1,1,1,20,9567000
KKNagar,1524,2,1,1,0,16,9890620
Chromepet,1132,1,1,1,1,23,8356850
AnnaNagar,1699,1,1,2,1,42,19297260
Chromepet,1204,2,1,1,1,20,10096480
Adyar,1003,1,1,1,0,13,13709595
AnnaNagar,1610,1,1,2,1,45,12364800
Velachery,1869,3,2,0,0,44,8074630
AnnaNagar,1676,1,1,2,1,13,20302130
Adyar,929,1,1,1,1,28,9494835
Karapakkam,1265,1,1,1,0,12,8970625
TNagar,1585,1,1,2,0,36,17556170
Chromepet,729,1,1,0,0,19,9860400
TNagar,1882,2,1,2,0,16,12235870
Adyar,912,1,1,1,1,16,9350240
KKNagar,2147,3,2,0,0,18,17180560
Chromepet,898,1,1,1,1,40,12906800
Velachery,1979,3,2,0,1,17,15965590
Karapakkam,1398,2,2,0,0,39,7443250
Karapakkam,942,1,1,1,1,20,5895000
Karapakkam,1504,2,2,0,0,44,7868000
Chromepet,821,1,1,1,1,9,8707750
Adyar,1045,1,1,1,0,20,11329800
Chromepet,1149,1,1,1,0,19,8318450
AnnaNagar,1666,1,1,2,1,28,13009590
Karapakkam,1210,1,1,1,1,30,8333250
Velachery,1523,2,1,1,1,41,8078620
Chromepet,891,1,1,1,0,37,10674350
TNagar,1955,2,1,2,1,36,22302670
Chromepet,1191,1,1,1,0,7,10749120
KKNagar,1641,2,1,1,0,5,9575120
Chromepet,740,1,1,0,1,34,7525500
Velachery,1588,2,1,1,0,39,11385450
Karapakkam,1272,1,1,1,1,7,7544000
Chromepet,879,1,1,1,0,20,12177400
Chromepet,1228,2,1,1,0,25,10071110
Karapakkam,946,1,1,1,0,14,7922250
Karapakkam,867,1,1,0,1,42,7691250
Velachery,1932,3,2,0,1,51,7733620
Velachery,1617,2,1,1,0,47,13014740
KKNagar,2179,3,2,0,1,17,18485760
Karapakkam,1040,1,1,1,1,33,4437750
Karapakkam,950,1,1,1,1,18,8047500
Karapakkam,1354,2,2,0,0,47,5131250
Velachery,1739,2,1,1,0,37,11730190
Adyar,935,1,1,1,0,30,11679050
Karapakkam,1484,2,2,0,1,35,6790750
KKNagar,2182,3,2,0,0,26,11774560
AnnaNagar,1711,1,1,2,0,17,11523870
Chromepet,886,1,1,1,0,28,6956820
Velachery,1760,2,1,1,1,34,16616430
Chromepet,1283,2,1,1,1,29,9606750
Karapakkam,1155,1,1,1,0,33,6125250
Karapakkam,752,1,1,0,1,11,5807250
KKNagar,1888,3,2,0,1,22,11805840
Chromepet,1211,2,1,1,0,22,13261700
Karapakkam,1248,1,1,1,1,30,5710250
KKNagar,1892,3,2,0,1,17,16967540
Adyar,1030,1,1,1,0,21,5743315
Chromepet,1254,2,1,1,0,21,9095330
KKNagar,1762,2,1,1,0,19,14826580
Karapakkam,1622,2,2,0,0,24,11168750
Chromepet,951,1,1,1,0,29,11264700
AnnaNagar,1981,2,1,2,0,18,20697180
Karapakkam,1628,2,2,0,0,6,6008250
Chromepet,797,1,1,0,0,22,7142850
Karapakkam,1587,2,2,0,1,32,11268000
Chromepet,1081,1,1,1,0,9,11318950
AnnaNagar,1895,2,1,2,1,10,14358470
Chromepet,973,1,1,1,1,40,12173800
Chromepet,844,1,1,1,1,7,9319450
Chromepet,965,1,1,1,0,27,6598000
Velachery,1742,2,1,1,0,13,8539610
KKNagar,1304,1,1,1,1,5,10779980
TNagar,1510,1,1,2,0,23,11220930
TNagar,1888,2,1,2,1,23,21014810
AnnaNagar,1540,1,1,2,1,8,19142980
Karapakkam,1023,1,1,1,1,10,7310375
Karapakkam,798,1,1,0,0,14,7506500
AnnaNagar,1624,1,1,2,1,13,13099130
KKNagar,1612,2,1,1,0,7,8599740
TNagar,1723,1,1,2,1,39,14028720
Chromepet,950,1,1,1,1,23,11873250
TNagar,1919,2,1,2,1,34,20496430
TNagar,1528,1,1,2,1,25,14203260
Karapakkam,1081,1,1,1,1,36,5940250
Chromepet,1002,1,1,1,1,5,10232240
Chromepet,937,1,1,1,0,11,9037200
KKNagar,2372,4,2,0,1,22,13851040
Chromepet,1237,2,1,1,0,10,13331300
Chromepet,1242,2,1,1,0,9,13896950
Velachery,1700,2,1,1,1,42,7326290
KKNagar,2422,4,2,0,0,15,12532900
Chromepet,801,1,1,1,0,38,7385300
Velachery,1503,2,1,1,0,51,10769370
AnnaNagar,1549,1,1,2,1,23,18531930
Adyar,606,1,1,0,1,36,8605340
Chromepet,1277,2,1,1,1,34,10150100
Chromepet,791,1,1,0,0,18,9525100
TNagar,1878,2,1,2,0,29,20734630
Karapakkam,806,1,1,0,0,30,7210750
TNagar,1543,1,1,2,1,39,19083430
KKNagar,1363,2,1,1,1,10,12572000
TNagar,1584,1,1,2,0,5,11173220
AnnaNagar,1794,1,1,2,1,18,20940460
Karapakkam,704,1,1,0,1,38,6965500
AnnaNagar,1531,1,1,2,0,24,11779810
Chromepet,1003,1,1,1,1,12,9778110
Chromepet,1010,1,1,1,1,15,9773000
AnnaNagar,1794,1,1,2,1,14,12653630
KKNagar,1756,2,1,1,0,24,10630800
Adyar,1188,1,1,1,1,15,14196640
Chromepet,1164,1,1,1,0,38,12873650
TNagar,1851,2,1,2,1,26,13698720
Chromepet,1176,1,1,1,1,14,10881370
KKNagar,1503,2,1,1,1,5,11327760
Karapakkam,1621,2,2,0,1,6,8892625
Karapakkam,883,1,1,0,0,10,5057875
Chromepet,1257,2,1,1,1,24,9481950
Karapakkam,552,1,1,0,1,47,4950250
AnnaNagar,1803,2,1,2,1,23,12993900
Karapakkam,721,1,1,0,1,7,6453250
Velachery,1573,2,1,1,0,33,8545010
Chromepet,723,1,1,0,1,6,8725650
Chromepet,1148,1,1,1,0,21,10437110
KKNagar,1513,2,1,1,0,23,9507320
Chromepet,951,1,1,1,0,28,7862800
KKNagar,2449,4,2,0,0,24,12084280
TNagar,1597,1,1,2,1,29,12569440
Karapakkam,1058,1,1,1,0,21,7020750
Karapakkam,1438,2,2,0,1,34,6505500
Karapakkam,1616,2,2,0,0,23,5829250
Adyar,632,1,1,0,1,28,11719720
Chromepet,953,1,1,1,0,18,8801100
KKNagar,1714,2,1,1,0,7,9470340
KKNagar,1334,2,1,1,0,16,11813720
AnnaNagar,1770,1,1,2,0,26,19844870
Karapakkam,1098,1,1,1,1,24,6465000
Chromepet,1010,1,1,1,0,13,9207350
Karapakkam,1195,1,1,1,0,18,10795500
Adyar,624,1,1,0,0,19,5378000
Chromepet,1272,2,1,1,0,10,10030140
KKNagar,1324,1,1,1,0,13,9140480
KKNagar,2424,4,2,0,1,19,18796780
KKNagar,1438,2,1,1,1,26,13444320
Adyar,701,1,1,0,1,11,11764865
Chromepet,1236,2,1,1,1,19,11240520
Velachery,1744,2,1,1,1,43,7670180
Chromepet,1078,1,1,1,1,31,8372710
Chromepet,901,1,1,1,1,13,9491300
Velachery,1669,2,1,1,1,45,13852750
Adyar,1073,1,1,1,0,7,9537120
Karapakkam,1273,1,1,1,0,28,11026000
Adyar,1235,2,2,0,0,12,13158180
Karapakkam,1400,2,2,0,0,48,6195750
AnnaNagar,1598,1,1,2,1,38,11450470
AnnaNagar,1819,2,1,2,0,16,13763020
Adyar,902,1,1,1,0,23,12133045
Adyar,795,1,1,0,1,35,9954125
KKNagar,1763,2,1,1,1,22,15329240
Velachery,1848,3,2,0,0,5,14445470
Chromepet,1288,2,1,1,1,17,15780550
Velachery,1615,2,1,1,1,18,10172480
Chromepet,1026,1,1,1,1,10,13885100
Velachery,1598,2,1,1,1,17,11762090
Velachery,1896,3,2,0,1,24,9315600
KKNagar,2276,4,2,0,0,12,13221960
KKNagar,2407,4,2,0,0,28,17099760
Chromepet,1083,1,1,1,0,27,9692960
Chromepet,728,1,1,0,1,34,7638500
TNagar,1894,2,1,2,0,43,11863010
AnnaNagar,1595,1,1,2,1,8,11679830
Chromepet,1274,2,1,1,0,32,14254400
AnnaNagar,1760,1,1,2,0,21,12308520
Adyar,969,1,1,1,1,35,11157225
Velachery,1652,2,1,1,1,47,9463960
Karapakkam,1211,1,1,1,0,24,7491375
Chromepet,958,1,1,1,1,4,12863400
Chromepet,818,1,1,1,1,22,8027500
Adyar,958,1,1,1,1,8,11221720
Chromepet,1091,1,1,1,1,22,14893850
Chromepet,1066,1,1,1,1,30,9572300
KKNagar,2371,4,2,0,0,30,10463400
Karapakkam,1451,2,2,0,1,40,10475000
AnnaNagar,1985,2,1,2,0,21,21969520
Velachery,1853,3,2,0,1,35,16550350
Velachery,1841,3,2,0,0,36,9871170
AnnaNagar,1767,1,1,2,1,37,20331090
Chromepet,1147,1,1,1,1,38,9352100
Chromepet,1232,2,1,1,0,18,8588100
Chromepet,1264,2,1,1,0,32,10265430
Karapakkam,898,1,1,1,1,39,9451250
Chromepet,743,1,1,0,1,37,8010660
Chromepet,1064,1,1,1,1,27,9955930
Chromepet,980,1,1,1,1,40,10044600
AnnaNagar,1780,1,1,2,0,11,19459290
KKNagar,1665,2,1,1,1,13,12054580
Velachery,1852,3,2,0,1,13,14646780
Chromepet,1231,2,1,1,0,6,13874850
KKNagar,1413,2,1,1,1,27,8992960
KKNagar,2443,4,2,0,0,30,18334400
Chromepet,1071,1,1,1,1,19,10223050
KKNagar,1614,2,1,1,0,13,10282340
KKNagar,1302,1,1,1,1,8,10423760
AnnaNagar,1923,2,1,2,0,17,12320640
Chromepet,805,1,1,1,1,38,7915350
AnnaNagar,1586,1,1,2,0,19,10671450
Velachery,1883,3,2,0,0,36,13650440
KKNagar,1582,2,1,1,0,24,12363680
Adyar,1109,1,1,1,1,31,9977280
Karapakkam,968,1,1,1,0,31,6297250
Karapakkam,1687,2,2,0,0,28,11110000
Velachery,1754,2,1,1,0,52,7091060
AnnaNagar,1766,1,1,2,1,31,13161500
Velachery,1656,2,1,1,1,8,14178210
Chromepet,805,1,1,1,0,29,8828350
Karapakkam,726,1,1,0,0,48,6553750
Karapakkam,1228,1,1,1,0,48,10933000
AnnaNagar,1995,2,1,2,0,26,20550920
Karapakkam,931,1,1,1,0,42,8092500
Chromepet,737,1,1,0,0,37,5940040
Velachery,1762,2,1,1,1,8,14912460
Velachery,1726,2,1,1,1,19,14471130
TNagar,1915,2,1,2,1,20,15090150
Chromepet,729,1,1,0,1,35,7918980
Karapakkam,1653,2,2,0,0,23,11248000
Chromepet,1261,2,1,1,1,8,15044200
Velachery,1744,2,1,1,0,12,9872490
Adyar,791,1,1,0,0,4,7359275
KKNagar,2199,3,2,0,1,10,12687420
Velachery,1915,3,2,0,0,30,6997850
Chromepet,857,1,1,1,1,18,7738700
AnnaNagar,1853,2,1,2,1,6,21437220
AnnaNagar,1701,1,1,2,0,32,12185540
Chromepet,963,1,1,1,0,39,11224050
AnnaNagar,1889,2,1,2,1,34,13041980
Velachery,1544,2,1,1,1,51,7359840
Chromepet,916,1,1,1,1,11,12501600
Karapakkam,1175,1,1,1,0,5,6898250
AnnaNagar,1966,2,1,2,1,20,14622250
KKNagar,2292,4,2,0,0,24,12996720
AnnaNagar,1781,1,1,2,0,40,11430420
Karapakkam,1075,1,1,1,0,17,7541750
Chromepet,1056,1,1,1,1,9,9341900
Chromepet,948,1,1,1,0,22,8159260
Chromepet,1002,1,1,1,0,36,11515200
Karapakkam,823,1,1,0,1,37,6420875
Chromepet,856,1,1,1,0,24,9656600
KKNagar,1432,2,1,1,0,28,8925160
Adyar,742,1,1,0,1,23,6037545
KKNagar,1743,2,1,1,1,8,10882620
KKNagar,2311,4,2,0,0,10,12784640
Karapakkam,1055,1,1,1,0,48,8060000
Velachery,1641,2,1,1,1,9,16137480
Karapakkam,690,1,1,0,1,23,6443000
Chromepet,756,1,1,0,1,14,9960220
Velachery,1704,2,1,1,0,19,10906430
Karapakkam,680,1,1,0,0,43,3404000
AnnaNagar,1734,1,1,2,0,32,12683980
Adyar,1033,1,1,1,1,30,8057450
Karapakkam,757,1,1,0,1,37,9094750
Velachery,1912,3,2,0,1,51,10011470
Chromepet,845,1,1,1,0,28,6519000
Chromepet,1275,2,1,1,0,38,14008700
Chromepet,1173,1,1,1,1,11,9562650
KKNagar,1502,2,1,1,0,12,9325860
Chromepet,1187,1,1,1,1,13,13533950
AnnaNagar,1889,2,1,2,0,7,20707160
TNagar,1853,2,1,2,0,20,11698300
Adyar,603,1,1,0,0,39,5342000
KKNagar,2172,3,2,0,1,23,17193660
AnnaNagar,1507,1,1,2,0,15,17294550
Karapakkam,692,1,1,0,0,6,6999250
Velachery,1897,3,2,0,0,46,7977570
Velachery,1607,2,1,1,0,54,8528780
KKNagar,1607,2,1,1,1,29,14209800
AnnaNagar,1853,2,1,2,0,40,13026640
Chromepet,1121,1,1,1,1,4,10768720
KKNagar,2279,4,2,0,1,26,13582900
Adyar,729,1,1,0,0,9,6853550
Adyar,794,1,1,0,0,33,10214695
Chromepet,800,1,1,0,1,13,11900750
Chromepet,1292,2,1,1,0,19,10309290
Adyar,831,1,1,1,0,16,7656640
Velachery,1850,3,2,0,1,37,15746590
Karapakkam,1454,2,2,0,0,29,5829500
Chromepet,1053,1,1,1,0,3,12486800
Adyar,1115,1,1,1,1,37,9795370
KKNagar,1498,2,1,1,0,27,9023100
Chromepet,992,1,1,1,1,20,10442550
Karapakkam,520,1,1,0,1,44,4321000
Adyar,833,1,1,1,0,33,11280410
Chromepet,1114,1,1,1,0,19,13551850
Karapakkam,753,1,1,0,1,33,8798750
AnnaNagar,1705,1,1,2,1,22,11813340
Adyar,934,1,1,1,1,7,12032720
Karapakkam,1101,1,1,1,1,31,7704750
Chromepet,1104,1,1,1,1,12,14395000
Chromepet,1085,1,1,1,0,21,8716800
Chromepet,1015,1,1,1,1,38,13076450
Karapakkam,1389,2,2,0,1,42,8863750
Chromepet,1179,1,1,1,0,7,10696480
Chromepet,855,1,1,1,1,6,9354600
Adyar,897,1,1,1,0,14,9850425
AnnaNagar,1762,1,1,2,0,31,13407250
Chromepet,726,1,1,0,0,6,10370100
Chromepet,1285,2,1,1,1,40,15982000
Chromepet,940,1,1,1,0,13,11359500
AnnaNagar,1914,2,1,2,1,17,14499510
Adyar,1285,2,2,0,0,27,11955405
Chromepet,707,1,1,0,0,23,7133850
Chromepet,939,1,1,1,1,30,12459650
TNagar,1911,2,1,2,0,30,21220250
AnnaNagar,1697,1,1,2,0,30,12480160
Chromepet,740,1,1,0,1,9,9002750
TNagar,1639,1,1,2,0,31,12041320
Chromepet,1210,2,1,1,0,39,9967250
Karapakkam,1467,2,2,0,1,15,5729750
Karapakkam,1412,2,2,0,0,14,11673500
Chromepet,1124,1,1,1,0,24,13030600
AnnaNagar,1996,2,1,2,0,33,20618810
Karapakkam,1632,2,2,0,0,50,6827500
Chromepet,1021,1,1,1,0,22,9338270
Karapakkam,1448,2,2,0,0,39,12252250
KKNagar,2450,4,2,0,0,26,11967520
Chromepet,941,1,1,1,1,20,9868000
KKNagar,1412,2,1,1,1,25,10678140
Chromepet,1153,1,1,1,0,20,12866800
TNagar,1690,1,1,2,1,23,19526110
KKNagar,1307,1,1,1,1,12,9272780
Velachery,1635,2,1,1,1,47,9570490
Chromepet,772,1,1,0,1,16,10132150
Karapakkam,1438,2,2,0,1,46,12393500
TNagar,1505,1,1,2,1,34,11086380
Karapakkam,1635,2,2,0,0,26,8820750
AnnaNagar,1631,1,1,2,1,21,12251750
TNagar,1585,1,1,2,1,41,11828320
Chromepet,1117,1,1,1,0,16,12704950
Karapakkam,1296,1,1,1,1,26,11235250
Chromepet,1238,2,1,1,0,38,9258310
KKNagar,1859,3,2,0,1,27,16018960
KKNagar,2239,4,2,0,0,19,11563580
Velachery,1771,2,1,1,0,35,8129650
Adyar,626,1,1,0,1,36,5251640
Chromepet,978,1,1,1,0,39,8196110
TNagar,1586,1,1,2,0,34,10259180
Chromepet,1196,1,1,1,0,5,11135270
Chromepet,1225,2,1,1,1,7,11116500
Chromepet,812,1,1,1,1,5,9663350
Karapakkam,1436,2,2,0,0,42,11799500
Karapakkam,1019,1,1,1,1,47,10472250
Chromepet,1203,2,1,1,1,38,13491500
Chromepet,1027,1,1,1,0,28,11827400
Velachery,1974,3,2,0,1,51,11031970
Velachery,1746,2,1,1,1,25,9964150
KKNagar,1711,2,1,1,0,25,10248940
TNagar,1918,2,1,2,1,42,12574290
Karapakkam,1083,1,1,1,0,12,5159375
Karapakkam,826,1,1,0,0,13,4646250
Velachery,1624,2,1,1,0,40,9031800
Chromepet,1122,1,1,1,0,28,13180400
AnnaNagar,1906,2,1,2,0,41,20020970
Chromepet,849,1,1,1,0,32,7061130
AnnaNagar,1793,1,1,2,1,28,12813210
Velachery,1936,3,2,0,1,9,10737430
Velachery,1956,3,2,0,1,44,9590830
KKNagar,1778,3,2,0,1,29,10502000
Karapakkam,1075,1,1,1,0,6,8543500
Karapakkam,541,1,1,0,1,21,4894125
Chromepet,1166,1,1,1,0,16,14248200
Karapakkam,533,1,1,0,0,24,3000375
Chromepet,738,1,1,0,1,31,7660600
TNagar,1771,1,1,2,1,15,20591120
AnnaNagar,1687,1,1,2,1,31,11407570
KKNagar,1970,3,2,0,0,6,14949120
Karapakkam,1620,2,2,0,1,43,9163250
Karapakkam,668,1,1,0,0,37,3781250
Velachery,1542,2,1,1,1,48,10453060
TNagar,1551,1,1,2,0,9,12435730
KKNagar,2221,4,2,0,0,20,11682020
Velachery,1522,2,1,1,0,14,9268680
Velachery,1539,2,1,1,1,23,9879360
TNagar,1866,2,1,2,1,25,15678280
AnnaNagar,1874,2,1,2,1,27,14602660
KKNagar,2097,3,2,0,0,22,10668780
Chromepet,1159,1,1,1,0,17,12415500
KKNagar,1438,2,1,1,1,9,14509000
Chromepet,863,1,1,1,0,22,7341810
Karapakkam,1292,1,1,1,0,32,10339000
AnnaNagar,1691,1,1,2,1,28,12549660
AnnaNagar,1894,2,1,2,1,38,12680410
Chromepet,1174,1,1,1,0,35,13328250
Velachery,1838,3,2,0,0,44,9952680
Karapakkam,1582,2,2,0,0,4,12570750
KKNagar,1951,3,2,0,0,7,9772960
Karapakkam,1237,1,1,1,1,22,6823875
Velachery,1989,3,2,0,1,36,9188290
Chromepet,1129,1,1,1,1,30,14614100
Chromepet,768,1,1,0,1,36,7462400
Chromepet,1056,1,1,1,0,39,6930720
TNagar,1585,1,1,2,0,42,17805860
KKNagar,1789,3,2,0,1,8,11874360
Velachery,1869,3,2,0,0,14,15941330
Karapakkam,520,1,1,0,0,19,5246250
Chromepet,738,1,1,0,1,12,10625000
Velachery,1914,3,2,0,1,8,11781260
AnnaNagar,1576,1,1,2,0,15,12560000
Chromepet,869,1,1,1,0,37,6831950
Adyar,635,1,1,0,0,40,6000900
AnnaNagar,1875,2,1,2,1,7,14640260
KKNagar,2344,4,2,0,0,17,18963740
AnnaNagar,1804,2,1,2,1,24,14507380
Adyar,985,1,1,1,0,40,7375400
AnnaNagar,1589,1,1,2,1,17,18676960
Karapakkam,1390,2,2,0,1,33,7941000
KKNagar,2435,4,2,0,0,14,12911300
Adyar,1145,1,1,1,1,28,11804935
Chromepet,714,1,1,0,0,19,8191450
Chromepet,1174,1,1,1,0,24,12980150
AnnaNagar,1936,2,1,2,0,27,21320640
Karapakkam,1477,2,2,0,0,26,9898250
Karapakkam,1017,1,1,1,1,6,9715500
Chromepet,943,1,1,1,0,17,7710860
TNagar,1515,1,1,2,0,33,11415610
Chromepet,1071,1,1,1,0,37,9277020
Velachery,1937,3,2,0,0,9,10670850
KKNagar,2440,4,2,0,1,11,14217020
Chromepet,892,1,1,1,1,26,8027540
Velachery,1951,3,2,0,0,11,15635990
Karapakkam,1452,2,2,0,0,13,8008250
Velachery,1605,2,1,1,0,26,11710370
Chromepet,733,1,1,0,0,15,7487660
Karapakkam,616,1,1,0,0,36,5452000
AnnaNagar,1525,1,1,2,0,15,12019000
KKNagar,1577,2,1,1,0,4,9218040
Adyar,1002,1,1,1,1,7,7731120
Velachery,1792,2,1,1,1,44,15370850
Chromepet,721,1,1,0,1,32,7947370
TNagar,1530,1,1,2,1,10,17340400
Chromepet,723,1,1,0,1,15,10659650
Adyar,840,1,1,1,0,21,6578415
Karapakkam,1254,1,1,1,1,17,8656000
Karapakkam,1129,1,1,1,1,27,6472125
Adyar,1272,2,2,0,0,19,9889600
Adyar,1085,1,1,1,1,31,8920280
Velachery,1922,3,2,0,0,10,10739020
Chromepet,994,1,1,1,0,28,11534600
Velachery,1798,2,1,1,1,47,9409960
Velachery,1544,2,1,1,0,14,13104880
Velachery,1740,2,1,1,1,30,12192300
Velachery,1676,2,1,1,0,46,8932590
Adyar,1209,2,2,0,1,18,10672285
KKNagar,1397,2,1,1,1,17,12774540
Karapakkam,1028,1,1,1,1,11,7087250
Adyar,1063,1,1,1,1,7,10525805
Velachery,1596,2,1,1,1,54,9637350
Adyar,648,1,1,0,0,24,8044160
Velachery,1732,2,1,1,0,5,8913270
Chromepet,1100,1,1,1,0,26,9171700
Chromepet,1182,1,1,1,0,31,10876790
KKNagar,2137,3,2,0,0,20,11810540
Chromepet,1298,2,1,1,1,36,16006000
Velachery,1581,2,1,1,1,14,7763400
Velachery,1520,2,1,1,0,29,7522430
Chromepet,785,1,1,0,0,33,7335200
Velachery,1929,3,2,0,1,31,16070870
Chromepet,765,1,1,0,1,40,6860600
KKNagar,2215,3,2,0,1,12,11596240
KKNagar,1599,2,1,1,1,20,10148600
KKNagar,1320,1,1,1,0,12,11851240
TNagar,1527,1,1,2,1,38,18686210
Chromepet,803,1,1,1,0,20,6811400
Adyar,778,1,1,0,0,16,9821540
TNagar,1917,2,1,2,0,11,14105580
TNagar,1762,1,1,2,0,41,18333020
AnnaNagar,1662,1,1,2,1,22,12916910
Adyar,691,1,1,0,0,31,5499565
Chromepet,1142,1,1,1,0,35,8559850
Karapakkam,965,1,1,1,1,35,6641500
Velachery,1793,2,1,1,1,50,6980320
Chromepet,1021,1,1,1,0,32,9304770
Chromepet,1097,1,1,1,1,9,14874950
Velachery,1753,2,1,1,0,50,6928000
TNagar,1941,2,1,2,1,12,16538570
Chromepet,1067,1,1,1,0,30,9112450
Chromepet,733,1,1,0,1,24,10548750
AnnaNagar,1856,2,1,2,0,20,14168130
Chromepet,961,1,1,1,0,32,8402320
Karapakkam,681,1,1,0,0,48,2640250
Velachery,1550,2,1,1,0,16,12337670
AnnaNagar,1766,1,1,2,0,23,17722310
Chromepet,983,1,1,1,0,29,8978460
AnnaNagar,1638,1,1,2,0,19,10514930
KKNagar,2092,3,2,0,0,7,11431740
Chromepet,942,1,1,1,0,29,7913300
Karapakkam,1627,2,2,0,0,39,6054750
Chromepet,932,1,1,1,0,28,7190600
Karapakkam,715,1,1,0,0,22,5091750
Karapakkam,1140,1,1,1,1,50,6519000
AnnaNagar,1658,1,1,2,1,27,14375730
Adyar,1112,1,1,1,0,18,11780070
AnnaNagar,1584,1,1,2,0,35,11061120
Velachery,1894,3,2,0,0,17,16025310
Adyar,791,1,1,0,1,20,6818200
Chromepet,715,1,1,0,0,35,7283800
KKNagar,2495,4,2,0,0,28,12496560
Karapakkam,1015,1,1,1,0,43,7479000
Chromepet,1125,1,1,1,0,9,13090350
AnnaNagar,1964,2,1,2,0,41,13651240
KKNagar,1975,3,2,0,0,9,15443180
KKNagar,1759,2,1,1,0,11,10625200
Chromepet,1222,2,1,1,1,27,10569390
AnnaNagar,1587,1,1,2,0,42,10880340
Velachery,1992,3,2,0,1,6,10011770
KKNagar,2458,4,2,0,0,4,20139900
Adyar,837,1,1,1,1,37,10805855
Karapakkam,964,1,1,1,0,26,8814250
Karapakkam,1170,1,1,1,1,40,5783750
AnnaNagar,1823,2,1,2,1,41,20819590
Adyar,1159,1,1,1,1,40,10444400
Adyar,1288,2,2,0,0,27,9827320
AnnaNagar,1724,1,1,2,1,43,12303260
Adyar,1130,1,1,1,1,35,9943840
AnnaNagar,1977,2,1,2,0,33,11141710
Adyar,633,1,1,0,0,34,5619510
Chromepet,1237,2,1,1,0,37,9609040
AnnaNagar,1599,1,1,2,0,34,9743650
Karapakkam,969,1,1,1,0,33,3867250
Chromepet,1292,2,1,1,0,38,9459100
Chromepet,1229,2,1,1,0,26,9295300
Chromepet,768,1,1,0,0,9,6789500
AnnaNagar,1878,2,1,2,1,40,14239590
KKNagar,2134,3,2,0,1,21,12856900
Adyar,682,1,1,0,0,13,9810510
TNagar,1815,2,1,2,1,23,13046310
KKNagar,1687,2,1,1,0,15,9729900
Karapakkam,535,1,1,0,0,46,3844375
Chromepet,1109,1,1,1,1,36,9189800
KKNagar,1333,2,1,1,0,10,8446600
Velachery,1987,3,2,0,1,44,12306030
Chromepet,943,1,1,1,1,26,12219050
Velachery,1633,2,1,1,1,39,14135780
Karapakkam,1513,2,2,0,1,37,11547750
AnnaNagar,1910,2,1,2,0,39,14228100
Velachery,1581,2,1,1,0,42,9456590
Chromepet,1239,2,1,1,1,27,10599680
Karapakkam,1414,2,2,0,1,19,9491000
Chromepet,755,1,1,0,0,12,6972000
Chromepet,826,1,1,1,1,37,7866370
AnnaNagar,1582,1,1,2,0,8,10598610
Karapakkam,1454,2,2,0,0,28,8930250
Karapakkam,1226,1,1,1,1,37,7853250
Karapakkam,949,1,1,1,0,7,4155500
AnnaNagar,1875,2,1,2,0,45,13171300
KKNagar,2152,3,2,0,0,13,10954860
Adyar,1252,2,2,0,0,37,10759755
AnnaNagar,1601,1,1,2,0,16,10995790
TNagar,1515,1,1,2,1,29,12627100
Velachery,1638,2,1,1,1,39,10843900
Velachery,1979,3,2,0,1,36,9733590
KKNagar,1647,2,1,1,0,16,8808920
Chromepet,1158,1,1,1,1,25,10554810
KKNagar,2323,4,2,0,0,12,13774320
Velachery,1901,3,2,0,1,36,17657420
Karapakkam,1252,1,1,1,1,17,6387750
Velachery,1891,3,2,0,1,34,11667930
AnnaNagar,1816,2,1,2,0,9,13369230
KKNagar,1369,2,1,1,1,14,11134480
Chromepet,1167,1,1,1,1,36,9553540
KKNagar,1781,3,2,0,0,17,15979940
AnnaNagar,1512,1,1,2,0,43,17084160
TNagar,1611,1,1,2,0,16,20119920
Velachery,1856,3,2,0,1,15,10973700
AnnaNagar,1539,1,1,2,0,20,10756350
KKNagar,1965,3,2,0,1,13,11779280
Chromepet,788,1,1,0,0,22,8578100
Chromepet,848,1,1,1,0,29,6568510
Chromepet,987,1,1,1,1,11,11541050
Karapakkam,1021,1,1,1,1,48,5275500
Chromepet,1282,2,1,1,0,25,9293090
Karapakkam,1254,1,1,1,0,35,5769250
Velachery,1511,2,1,1,0,55,6435700
Adyar,920,1,1,1,1,31,9747565
Adyar,700,1,1,0,1,21,6870115
